id,address,city,state,zip
4275,610 & 616 25 1/2 Road,Grand Junction,CO,81505
4276,501 West Sierra Avenue,Fresno,CA,93704
4277,416 Windsor Highway,Vails Gate,NY,12553
4278,3900 North Prince Street,Clovis,NM,88101
4279,650 South Bay Road,Dover,DE,19901
4280,145 West 79th Street,New York,NY,10024
4281,1420 North Meridian Road,Tallahassee,FL,32303
4282,14 Horatio Street,New York,NY,10014
4283,500 Jay Scutti Boulevard,Henrietta,NY,14623
4284,"15557, 15569, 15601 & 15609 West Bell Road",Surprise,AZ,85374
4285,111 Summit Terrace Road,South Portland,ME,04106
4286,1029 Camino La Costa,Austin,TX,78752
4287,400 West Touhy Avenue,Des Plaines,IL,60018
4288,8808-8840 Pioneer Blvd. & 8825Millergrove Dr.,Santa Fe Springs,CA,90670
4289,11070 HIRSCHFELD WAY,Rancho Cordova,CA,95670
4290,2101 Rock Springs Drive,Las Vegas,NV,89128
4291,1520-28 York Avenue,New York,NY,10025
4292,2605 Brookside Drive,Bakersfield,CA,93311
4293,6650 Sugarloaf Parkway,Duluth,GA,30097
4294,2603-A Woodruff Road,Simpsonville,SC,29681
4295,200 A Highway 70 East,Hildebran,NC,28637
4296,3732 Darrow Road,Stow,OH,44224
4297,841 W. La Habra Blvd.,La Habra,CA,90631
4298,79 Worth Street,New York,NY,10013
4299,9667 Canoga Avenue,Chatsworth,CA,91311
4300,40022 10th Street West,Palmdale,CA,93551
4301,426 West 5th Street,Kansas City,MO,64105
4302,Route 25A & Fairway Drive,Rocky Point,NY,11778
4303,276 Mt. Hermon Road,Scotts Valley,CA,95066
4304,604 Arizona Avenue,Santa Monica,CA,90401
4305,910 Court Christopher Way,Maryville,TN,37801
4306,600 Stewart Street,Seattle,WA,98101
4307,616 Summit Avenue & 26 Dale Street S,St. Paul,MN,55102
4308,1370 and 1400 Church Street,Bohemia,NY,11716
4309,326 East Madison Street,Ann Arbor,MI,48104
4310,7500 West 110th Street,Overland Park,KS,66210
4311,"14624, 14636 & 14648 North Scottsdale Road",Scottsdale,AZ,85254
4312,201-245 North Chicago Avenue,Goshen,IN,46526
4313,1400 Midvale Avenue,Los Angeles,CA,90024
4314,5500 De Soto Street,Houston,TX,77091
4315,17001 Science Drive,Bowie,MD,20715
4316,15 Mareblu,Aliso Viejo,CA,92656
4317,"2803, 2805, 2813, 2815, 2825 & 2835 Schoolhouse Lane",Cambria,CA,93428
4318,8711-8745 US Hwy 31,Indianapolis,IN,46227
4319,33-41 North 10th Street and 2-20 North 12th Street,Brooklyn,NY,11211
4320,3939 N. Romero Road,Tucson,AZ,85705
4321,1-2 Dark Hollow Road and 3-8 Presidents Drive,Port Jefferson,NY,11777
4322,14625 Raven Street,Panorama City,CA,91402
4323,64 Inverness Drive East,Englewood,CO,80112
4324,325 Main Street,White Plains,NY,10601
4325,3600 South Crater Road,Petersburg,VA,23805
4326,136-140 Watts Street,New York,NY,10013
4327,900 Cathedral Street,Baltimore,MD,21201
4328,2050 Old Clinton Road,Macon,GA,31211
4329,222 South Church Street,Charlotte,NC,28202
4330,216 Chartres Street,New Orleans,LA,70130
4331,5905 West 86th Street,Indianapolis,IN,46278
4332,10524 W. Markham Street,Little Rock,AR,72205
4333,1184 Highway 105,Boone,NC,28607
4334,301 West Park Lane,Hampton,VA,23666
4335,300 Westpark Drive,Peachtree City,GA,30269
4336,3000 Danville Boulevard,Alamo,CA,94507
4337,2007-2017 Tully Road,San Jose,CA,95122
4338,22950 U.S. Highway 19 North,Clearwater,FL,33765
4339,6933 East Thomas Road,Scottsdale,AZ,85251
4340,6410 West Johns Crossing,Duluth,GA,30097
4341,566 FM 1960 West,Houston,TX,77090
4342,131 S. Maple Ave.,South San Francisco,CA,94080
4343,10630 Beechnut,Houston,TX,77072
4344,2669 Stringtown Pike,Cicero,IN,46034
4345,4230-4354 Redondo Beach Boulevard & 17204-17270 Hawthorne Boulevard,Torrance,CA,90504
4346,1020 North Flyer Way,Salt Lake City,UT,84116
4347,1765 Hudson Bridge Road,Stockbridge,GA,30281
4348,45 Broadway,New York,NY,10006
4349,10550 North Loop Road,El Paso,TX,79927
4350,2800 Shirlington Road,Arlington,VA,22206
4351,1723 Creswell Lane,Opelousas,LA,70570
4352,1401 West Fourteen Mile Road,Madison Heights,MI,48071
4353,2259 Bonaparte Blvd.,Montgomery,AL,36116
4354,10200 Fox Trail Road South,Royal Palm Beach,FL,33411
4355,7520 South Rural Road,Tempe,AZ,85283
4356,8665 West Flamingo Road,Las Vegas,NV,89147
4357,1231 Walnut Street,Philadelphia,PA,19107
4358,1220 Horizon Road,Rockwall,TX,75032
4359,"4214, 4218, 4300, 4302 Chamberlayne Avenue and 1000, 1002 Westminster Avenue",Richmond,VA,23227
4360,4545 South Noland Road,Independence,MO,64051
4361,1530 Locust Street,Kansas City,MO,64108
4362,8050 South Padre Island Drive,Corpus Christi,TX,78412
4363,6901 Ridge Avenue,Philadelphia,PA,19128
4364,"40515,40665, 40695, 40705 & 40825 Winchester Road",Temecula,CA,92590
4365,579A Cranbury Road,East Brunswick,NJ,08816
4366,1037 East Lexington Avenue,El Cajon,CA,92020
4367,1820 McDonald Street,McKinney,TX,75069
4368,2585 Cruse Road,Lawrenceville,GA,30044
4369,2000 Buckingham Road,Richardson,TX,75042
4370,2299 River Oaks Drive,Columbus,OH,43228
4371,2401 East Atlantic Boulevard,Pompano Beach,FL,33062
4372,1875 Boston Avenue,Bridgeport,CT,06610
4373,200 West Jackson Boulevard,Chicago,IL,60606
4374,101-197 S. Las Posas Road,San Marcos,CA,92078
4375,2156 Okeechobee Boulevard,West Palm Beach,FL,33409
4376,975 Johnson Ferry Road,Atlanta,GA,30342
4377,503 West 150th Street,New York,NY,10031
4378,389 Knickerbocker Avenue,Brooklyn,NY,11237
4379,10427 Artesia Boulevard,Bellflower,CA,90706
4380,7601-7615 Ora Glen Drive,Greenbelt,MD,20770
4381,763 W. Lancaster Avenue,Bryn Mawr,PA,19010
4382,2501 Palo Alto Drive,San Antonio,TX,78211
4383,1649 Frankford Road West,Carrollton,TX,75007
4384,9966 State Highway 140,El Portal,CA,95318
4385,3710-3750 East Fountain Street,Long Beach,CA,90804
4386,1633 Bellevue Avenue,Seattle,WA,98122
4387,205 East Houston Street,San Antonio,TX,78205
4388,14350 Mundy Drive,Noblesville,IN,46060
4389,1315 NASA Rd.1,Houston,TX,77058
4390,5688 West Broad Street,Galloway,OH,43119
4391,"460 East Dayton Yellow Springs Road, 860 Hunter Road, 20-40 Twin Lakes Drive and 100-106 East Sunny Brook Trail",Various,OH,
4392,999 Peachtree Street,Atlanta,GA,30309
4393,634 Plain Street,Marshfield,MA,02050
4394,515 Union Boulevard,Totowa,NJ,07512
4395,"149 West Westfield Boulevard, 119 West 56th Street, 5556 North Illinois Street, and 5602 North Illinois Street",Indianapolis,IN,46208
4396,500 East Centennial Drive,Oak Creek,WI,53154
4397,2035 Central Park Avenue,Yonkers,NY,10710
4398,251 Moffitt Boulevard,Islip,NY,11751
4399,881 3rd Avenue Southwest and 5 Center Green,Carmel,IN,46032
4400,5975 Northeast Berwick Drive,Berwick,IA,50032
4401,44425 Pecan Court,California,MD,20619
4402,2415 West Alabama,Houston,TX,77098
4403,3207 Stonesthrow Lane,Durham,NC,27713
4404,330 Cross Park Drive,Pearl,MS,39208
4405,Milwaukee Ave and Town Line Road,Vernon Hills,IL,60061
4406,2750 East First Street,Los Angeles,CA,90033
4407,205 Beltline Road,Anderson,SC,29621
4408,951-975 E. Frontage Road,Litchfield,MN,55355
4409,7349 Lemont Road & 1150 75th Street,Downers Grove,IL,60516
4410,6150 Iliff Road Northwest,Albuquerque,NM,87121
4411,8150 Porter Road,Falls Church,VA,22042
4412,46 West 47th Street,New York,NY,10036
4413,4545 North Lincoln Boulevard,Oklahoma City,OK,73105
4414,1738 165th Street,Hammond,IN,46320
4415,4605 Cahuenga Boulevard,Toluca Lake,CA,91602
4416,1000 Buffalo Road,Lewisburg,PA,17837
4417,3333 Turtle Creek Drive,Port Arthur,TX,77642
4418,"997, 1000-1006 Kennedy's Landing",Cincinnati,OH,45245
4419,10 Dorrance Street,Providence,RI,02903
4420,463646 State Road 200,Yulee,FL,32097
4421,1611 South Catalina Avenue,Redondo Beach,CA,90277
4422,500 Flatiron Boulevard,Broomfield,CO,80021
4423,Glen Curtiss Boulevard,Uniondale,NY,11553
4424,3000 Ford Rd.,Bristol,PA,19007
4425,2603 West Berry Street,Fort Worth,TX,76109
4426,1418 Walnut Street,Philadelphia,PA,19102
4427,2875 Zeppelin Road,Colorado Springs,CO,80916
4428,103 Rocklyn Avenue,Lewistown,MT,59457
4429,7127 Bonnie Drive,Westland,MI,48185
4430,4700 South Rio Grande Ave,Orlando,FL,32839
4431,8315 Red Bug Lake Road,Oviedo,FL,32765
4432,340 - 450 Salem Drive & 450 - 455 Nantucket Drive,Vermillion,OH,44089
4433,25 Leroy Street,New York,NY,10014
4434,100-138 South Ashland Avenue,Chicago,IL,60607
4435,125 Main Street,Port Washington,NY,11050
4436,3601 East 29th Street,Bryan,TX,77802
4437,14531 Ella Boulevard,Houston,TX,77014
4438,1246 Washington Street,Hanover,MA,02339
4439,1354 East Avenue,Chico,CA,95926
4440,2401 East Orangeburg Avenue,Modesto,CA,95355
4441,1119 Bullsboro Drive,Newnan,GA,30265
4442,"4405, 4425, and 4435 North Chestnut Street",Colorado Springs,CO,80907
4443,2001 W. Charleston Blvd,Las Vegas,NV,89102
4444,170-40 Highland Avenue,Jamaica Estates,NY,11432
4445,5656 Military Parkway,Dallas,TX,75227
4446,18620 East Iliff Avenue,Aurora,CO,80013
4447,1400 East County Line Road,Littleton,CO,80126
4448,111 Southland Village,Troy,AL,36079
4449,12400 Rojas,El Paso,TX,79927
4450,1531 North Bell Street,Fremont,NE,68025
4451,7 Godfrey Place,Wilton,CT,06880
4452,6121 Melody Lane,Dallas,TX,75231
4453,2201 Miller Road,Arlington,TX,76006
4454,3380 NW 35th Avenue,Ocala,FL,34475
4455,6925 Union Park Center,Midvale,UT,84047
4456,668 Lomb Ave  SW,Birmingham,AL,35211
4457,4200 Mahogany Run,Winter Haven,FL,33884
4458,1218-1226 East Dixie Drive,Asheboro,NC,27203
4459,"5243 Dalewood Drive, 5232 Walnut Valley Drive",Cross Lanes,WV,25313
4460,3030 West Memorial Road,Oklahoma City,OK,73134
4461,9470-9510 South Eastern Avenue,Henderson,NV,89123
4462,2300 Airline Drive,Bossier City,LA,71111
4463,100-290 E. Compton Blvd,Compton,CA,90220
4464,150 - 210 Chambers Street,El Cajon,CA,92020
4465,3975 N. Nellis Boulevard,Las Vegas,NV,89115
4466,6124 Pembroke Road,Miramar,FL,33023
4467,287 East 4th Street,New York,NY,10009
4468,4182 Wisconsin Avenue,Grand Chute,WI,54913
4469,9085 Fairforest Road,Spartanburg,SC,29301
4470,590 Farrington Highway,Kapolei,HI,96707
4471,4825 Aldine Mail Route Road,Houston,TX,77039
4472,19 Lakeshore Drive,Hampton,VA,23666
4473,3120 Staten Avenue,Lansing,MI,48910
4474,15515 Juanita-Woodinville Way,Bothell,WA,98011
4475,23026-26270 Bouqet Canyon Road,Santa Clarita,CA,91350
4476,601  609  617  641-645  651-665  & 675 North Broadway,Escondio,CA,92025
4477,9440-9680 Hageman Road,Bakersfield,CA,93312
4478,1750 South Westmoreland Avenue,Los Angeles,CA,90006
4479,801 Spartan Boulevard,Spartanburg,SC,29301
4480,1117 West Washington Street,Appleton,WI,54914
4481,111 Dyke Road,Frankfort,NY,13340
4482,1001 Nimbus Drive,Pflugerville,TX,78660
4483,2706 Cookscreek Place,Farmers Branch,TX,75234
4484,850 East Foothill Boulevard,Rialto,CA,92376
4485,5657 Copley Drive,San Diego,CA,92111
4486,1005 Egret Nest Circle,Leland,NC,28451
4487,9311 East Via de Ventura,Scottsdale,AZ,85258
4488,2333 North Lake Avenue,Altadena,CA,91001
4489,1 West Wacker Drive,Chicago,IL,60601
4490,257-291 Cedarhurst Avenue,Cedarhurst,NY,11516
4491,555-575 Polk Street,San Francisco,CA,94102
4492,13615 - 13621 Inwood Road,Farmers Branch,TX,75244
4493,20585 County Road 13,Fairhope,AL,36532
4494,1948 Day Drive,Duluth,GA,30096
4495,324 Palmer Terrace,Mamaroneck,NY,10543
4496,"2893 Sunrise Blvd.,11500&11492 Sunrise Gold Circle",Rancho Cordova,CA,95742
4497,10928 Eagle River Road,Eagle River,AK,99577
4498,2212 Whitesburg Dr.,Huntsville,AL,35801
4499,4128-4158 Mariner Boulevard,Spring Hill,FL,34609
4500,8961-9001 East 116th Street,Fishers,IN,46038
4501,2800 Interstate 35 South,Austin,TX,78704
4502,3275 Coach Lane,Cameron Park,CA,95682
4503,24007 & 24009 Ventura Boulevard,Calabasas,CA,91302
4504,2701 Leary Lane,Victoria,TX,77901
4505,16101 West 95th Street,Lenexa,KS,66219
4506,4840 and 4880 W. University Ave.,Las Vegas,NV,89103
4507,845-869 Belvidere Road,Grayslake,IL,60030
4508,7290 East 55th Avenue,Bradenton,FL,34203
4509,3025 Triumph Drive,Sun Prarie,WI,53590
4510,1101 W. Berkeley Blvd.,Goldsboro,NC,27534
4511,11260 El Camino Real,San Diego,CA,92130
4512,19780 Pacific Gateway Drive,Los Angeles,CA,90502
4513,929 Park Avenue a/k/a 929/931 Park Avenue,New York,NY,10028
4514,248-254 West Harvard Boulevard,Santa Paula,CA,93060
4515,2500 Springdale Boulevard,Palm Springs,FL,33461
4516,12919 & 12925 Alcosta Blvd,San Ramon,CA,94583
4517,1170 Majolica Road,Salisbury,NC,28147
4518,215 Paper Mill Road,Lawrenceville,GA,30045
4519,Forrest Avenue East and Mount Airy Road,Shrewsbury Township,PA,17361
4520,"1913, 1935 & 2005 Perlich Avenue",Redwing,MN,55066
4521,485 North 2nd East,Rexburg,ID,83440
4522,1900 A-B East Elizabeth Street,Brownsville,TX,78523
4523,7325 North Davis Highway,Pensacola,FL,32504
4524,14900 North Pennsylvania Avenue,Oklahoma City,OK,73134
4525,3120 Airway Avenue,Costa Mesa,CA,92626
4526,772 West Frontage Road,Nogales,AZ,85621
4527,3073 NW Bucklin Hill Road,Silverdale,WA,98383
4528,1331 7th Street,Santa Monica,CA,90401
4529,4370 Commercial Street SE,Salem,OR,97302
4530,East Red Bank Avenue & North Evergreen Avenue,Woodbury,NJ,08096
4531,24917-24945 and 24965-24975 Pico Canyon Road,Stevenson Ranch,CA,91381
4532,3411 Elvis Presley Boulevard,Memphis,TN,38116
4533,535 Zang Street,Broomfield,CO,80021
4534,986 5th Avenue,Chula Vista,CA,91911
4535,13999 Noblewood Plaza,Woodbridge,VA,22193
4536,2118 Cottman Avenue,Philadelphia,PA,19149
4537,"2548-2578, 2584-2598, 2520 Idaho Street",Elko,NV,89801
4538,1430 Hooper Avenue,Toms River,NJ,08753
4539,21790 21 Mile Road,Macomb Township,MI,48044
4540,888 Chesterbrook Boulevard,Wayne,PA,19087
4541,26 Astor Place,New York,NY,10003
4542,1001 East Main Street,Yukon,OK,73099
4543,5905-5975 N. Academy,Colorado Springs,CO,80918
4544,220 Palo Alto Avenue,Palo Alto,CA,94301
4545,432 West Market Street,San Antonio,TX,78205
4546,4234 South 48th St.,Phoenix,AZ,85040
4547,4100 William Penn Highway,Monroeville,PA,15146
4548,725 Bode Circle,Hoffman Estates,IL,60194
4549,16650-16664 Ventura Blvd.,Encino,CA,91436
4550,6804 West Windsor Avenue,Berwyn,IL,60402
4551,3896 Bigelow Boulevard,Pittsburgh,PA,15213
4552,101 8th Avenue Southwest,Stanley,ND,58784
4553,135-145 West Green Street,Pasadena,CA,91105
4554,"5020-5040, 5070, 5080 & 5098 Foothills Boulevard",Roseville,CA,95747
4555,1447 Enterprise Boulevard,Kinston,NC,28504
4556,2714-2734 West Kingsley Road,Garland,TX,75041
4557,3223 Bret Clodfelter Way,The Dalles,OR,97058
4558,475 Bedford Street,Lexington,MA,02420
4559,500 North Columbia River Highway,St. Helens,OR,97051
4560,5000 West 127th Street,Alsip,IL,60803
4561,8877 North Gainey Center Drive,Scottsdale,AZ,85258
4562,5757 and 5805 Main Street,Frisco,TX,75034
4563,19840 Pioneer Avenue,Torrance,CA,90503
4564,1122 Old Chattahoochee Avenue,Atlanta,GA,30318
4565,100 East Pine Street,Orlando,FL,32801
4566,110 Bejac Circle Drive,Battle Creek,MI,49017
4567,180 Canyon Drive,Oceanside,CA,92054
4568,1025 Beach Avenue,Cape May,NJ,08204
4569,901 North Green Valley Parkway,Henderson,NV,89074
4570,1587  1593  & 1597 Northeast Expressway,Atlanta,GA,30360
4571,2466 Whipple Road,Hayward,CA,94544
4572,194 Shelton Road,Madison,AL,35758
4573,11434-11450  Calvert Street,North Hollywood,CA,91606
4574,1065 East 450 North,Provo,UT,84604
4575,1 American Place,Gordonsville,VA,22942
4576,"3301 - 3303 M Street, NW",Washington,DC,20007
4577,5101 - 5125 Curry Ford Road,Orlando,FL,32812
4578,1401-1405 Oxford Road and 1554-1556 North Decatur Road,Atlanta,GA,30307
4579,3385 Princeton Road,Hamilton,OH,45011
4580,10010 Kempwood Drive,Houston,TX,77080
4581,2225-2281 Eagle Glen Parkway & 3811-3877 Bedford Canyon Road,Corona,CA,92883
4582,1261 Deerpark Drive,Fullerton,CA,92631
4583,950 East Commerce Drive,St. George,UT,84790
4584,3159 Carpenter Road South,Tifton,GA,31793
4585,251 West Valparaiso Street,Westville,IN,46391
4586,14205 East Davies Avenue,Centennial,CO,80112
4587,2951 and 2975 West Clubhouse Drive,Lehi,UT,84043
4588,600 West 26th Street,Austin,TX,78705
4589,233 North Mojave Road,Las Vegas,NV,89101
4590,717 Texas Avenue,Houston,TX,77002
4591,9552 Apple Valley Drive,Independence,KY,41051
4592,1250 South Washington Street (Route 1),North Attleboro,MA,02760
4593,15110 John J. Delaney Drive,Charlotte,NC,28277
4594,490 Atlantic Avenue,East Rockaway,NY,11518
4595,6000 Linderson Way S.W.,Tumwater,WA,98501
4596,24490 Frampton Avenue,Harbor City,CA,90710
4597,7800-7840 Long Point Road and 1802-1836 Wirt Road,Houston,TX,77055
4598,22000 Inkster Road,Romulus,MI,48174
4599,35 Executive Boulevard,Orange,CT,06477
4600,14637 Handel Drive,Carmel,IN,46032
4601,1806 Russell Parkway,Warner Robins,GA,31088
4602,1500 Government Street,Mobile,AL,36604
4603,7649 Airline Highway & 8922 Greenwell Springs Road,Baton Rouge,LA,70814
4604,"33562-33694, 33720, 33730 and 33758 Yucaipa Boulevard",Yucaipa,CA,92399
4605,1690 New Britain Avenue,Farmington,CT,06032
4606,2420 Enterprise Boulevard,Calexico,CA,92231
4607,9600 McCombs Street,El Paso,TX,79924
4608,1250 Jordan Creek Parkway,West Des Moines,IA,50266
4609,5601 and 5607 North 103rd Street,Omaha,NE,68134
4610,401 West Ontario,Chicago,IL,60654
4611,1400 and 1440 North Harbor Boulevard,Fullerton,CA,92835
4612,4567 Telephone Road,Ventura,CA,93003
4613,5611 Fulcher Avenue,North Hollywood,CA,91601
4614,3320 Avenue K,Plano,TX,75074
4615,6236 Twin Oaks Drive,Colorado Springs,CO,80918
4616,2000 West Mission Rd.,Alhambra,CA,91803
4617,34 Fishermans Way,Jupiter,FL,33477
4618,12747 Riverside Drive,Valley Village,CA,91607
4619,2490 Schillinger Road,Mobile,AL,36695
4620,"4333, 4353, 4393 Tuller Ridge Drive",Dublin,OH,43017
4621,1201-1233 Faichney Drive,Watertown,NY,13601
4622,12030 Scripps Summit Drive,San Diego,CA,92131
4623,10123 Alliance Road,Cincinnati,OH,45242
4624,735 Creative Drive,Lakeland,FL,33813
4625,114 Halsted Street,Chicago Heights,IL,60411
4626,333 South Miami Avenue,Miami,FL,33130
4627,2265 Ralph Avenue,Brooklyn,NY,11234
4628,4250 & 4275 Executive Square,La Jolla,CA,92037
4629,1545-1645 Quail Street/11353 & 11355 West Colfax Avenue,Lakewood,CO,80215
4630,503 Oak Place,Atlanta,GA,30349
4631,"1900, 1910, 1928 South Boulevard",Charlotte,NC,28203
4632,157 Hempstead Avenue,Lynbrook,NY,11563
4633,121-141 Myrtle Avenue,Monrovia,CA,91016
4634,SEQ of Eau Gallie Blvd. & S. Patrick Dr.,Melbourne,FL,32935
4635,3126 Fifth Avenue South,Fort Dodge,IA,50501
4636,585 Fort Loudon Medical Center Drive,Lenoir City,TN,37772
4637,257 South 16th St.,Philadelphia,PA,19109
4638,1 Selleck Street,Norwalk,CT,06855
4639,900 Santa Cruz Avenue,Menlo Park,CA,94025
4640,2069 North Argyle Avenue,Los Angeles,CA,90068
4641,9701-9711 West Sample Road,Coral Springs,FL,33065
4642,24451 Crenshaw Boulevard,Torrance,CA,90505
4643,Rees Street and East Mills Avenue,Breaux Ridge,LA,70517
4644,1900 North 200 West,Bountiful,UT,84010
4645,200 College Road,Palatka,FL,32177
4646,40 West Stafford Road,Stafford Springs,CT,06076
4647,"1530-1566 Blackbird Lane, 1658-1694 Duck Drive",Howell,MI,48855
4648,4215 University Drive,Durham,NC,27707
4649,508 Douglas Avenue,Bakersfield,CA,93308
4650,100 Lexington Street,Fort Worth,TX,76102
4651,3105 Pine Street,Everett,WA,98201
4652,1150 Volvo Parkway,Chesapeake,VA,23320
4653,110 Main Street,Hellertown,PA,18055
4654,11316 Cox Road & 11315 Hillridge Drive,Conroe,TX,77385
4655,1020 North Marshall Avenue,El Cajon,CA,92021
4656,301 East North Water St,Chicago,IL,60611
4657,7315 South Durango Drive,Las Vegas,NV,89113
4658,4480-4540 Richmond Road,Warrensville Heights,OH,44128
4659,3969 McHenry Avenue,Modesto,CA,95356
4660,8301-8651 West 135th St.,Overland Park,KS,66223
4661,2690 Drury Way,Memphis,TN,38128
4662,2323 North East Street,Greenville,SC,29607
4663,6405 Telegraph Road,Bloomfield Hills,MI,48301
4664,6600 SW 92nd Avenue,Beaverton,OR,97223
4665,500 Maxham Road,Austell,GA,30168
4666,3069 East Ordway Drive NW,Roanoke,VA,24017
4667,2739 Santee Road,Bethlehem,PA,18020
4668,933 Studewood,Houston,TX,77008
4669,560 Lincoln Road,Miami Beach,FL,33139
4670,2506 Trimmier Road,Killeen,TX,76542
4671,110-11/110-19 64th Road a/k/a 110-11/110-65 64th Road a/k/a 110-12/110-44 64th Avenue,Forest Hills,NY,11375
4672,3140 East Paris Avenue Southeast,Kentwood,MI,49512
4673,1503 Texas Avenue South,College Station,TX,77840
4674,7600 South Cicero Avenue,Burbank,IL,60459
4675,1000 South Graham Road,Saginaw,MI,48609
4676,1601 Royal Crest Drive,Austin,TX,78741
4677,"2405, 2406, 2408 Heathrow Drive and 2406, 2408 Chiswick Drive",Champaign,IL,61820
4678,1910 Skidaway Road,Savannah,GA,31404
4679,515 Seabreeze Boulevard,Fort Lauderdale,FL,33316
4680,500 Maitland Drive,Alameda,CA,94502
4681,1050 Warrenvile Road,Lisle,IL,60532
4682,505 Central Avenue,White Plains,NY,10530
4683,1720 Lincoln Place,Brooklyn,NY,11212
4684,1810 South Highway 27,Clermont,FL,34711
4685,20 Wendall Street,Hempstead,NY,11550
4686,13503 Northborough Drive,Houston,TX,77067
4687,4795 & 4851 Regent Boulevard,Irving,TX,75063
4688,9696 Virginia Parkway,Mckinney,TX,75071
4689,14800 Saint Mary's Lane,Houston,TX,77079
4690,2517 South Santa Fe Avenue,Vista,CA,92083
4691,9131 Liberty Road,Randallstown,MD,21133
4692,54 N. Central Avenue,Campbell,CA,95008
4693,3539 East 14th Street,Brownsville,TX,78521
4694,2573 Highwood Boulevard,Smyrna,TN,37167
4695,"7014-7050, 7080 and 7100-7144 Broadway",Lemon Grove,CA,91945
4696,2201 Hotel Circle South,San Diego,CA,92108
4697,3600 Covert Avenue,Evansville,IN,47714
4698,32 Statesboro Mall,Statesboro,GA,30458
4699,331-359 Stealth Court,Livermore,CA,94551
4700,"757 and 759 Hillside Avenue, 110, 128 and 130 Virginia Road and 1- 35 Lawrence Drive",White Plains,NY,10603
4701,1600 Cumberland Avenue,West Lafayette,IN,47906
4702,335 West Esplanade Avenue,Kenner,LA,70065
4703,8700 Richmond Highway,Alexandria,VA,22309
4704,2350 Blackburn Road Southeast,Cleveland,TN,37311
4705,8661 Winter Garden Blvd.,Lakeside,CA,92040
4706,1315 Dixwell Avenue,Hamden,CT,06514
4707,17850 Northwest 2nd Street,Pembroke Pines,FL,33029
4708,940 Williston Park Point,Lake Mary,FL,32746
4709,155 N. Dettman,Jackson,MI,49202
4710,4487 East Lake Mead Boulevard,Las Vegas,NV,89115
4711,146 North Canal Street,Seattle,WA,98103
4712,807 South Main Street,Euless,TX,76040
4713,10629-10689 Hardin Valley Road,Knoxville,TN,37932
4714,2175 Reed Station Parkway,Carbondale,IL,62901
4715,1920 Route 96,Phelps,NY,14532
4716,1140 N. Germantown Parkway,Cordova,TN,38016
4717,9490 South Bermuda Road,Las Vegas,NV,89123
4718,1800-1884 Johns Drive,Glenview,IL,60025
4719,2231 Rutherford Road,Carlsbad,CA,92008
4720,7621 & 7641 East Gray Road,Scottsdale,AZ,85260
4721,825 Las Gallinas Avenue,San Rafael,CA,94903
4722,5925 Imperial Parkway,Mulberry,FL,33860
4723,1959-2007 Morse Road,Columbus,OH,43229
4724,1505 East Warner Avenue,Santa Ana,CA,92705
4725,1233 Hunn Road,Yuba City,CA,95991
4726,200-250 N. Robertson Boulevard,Beverly Hills,CA,90211
4727,5510 West Sample Street,South Bend,IN,46619
4728,3925 Brookside Parkway,Alpharetta,GA,30022
4729,3421 Blairs Ferry Road Northeast,Cedar Rapids,IA,52402
4730,3177 & 3201 Fairlane Drive,Allen Park,MI,48101
4731,2701 South Jack Kultgen Expressway,Waco,TX,76706
4732,761-779 Seventh Avenue,New York,NY,10019
4733,73-5562 Lawehana Street,Kailua-Kona,HI,96740
4734,2600-2690 Martin Luther King Boulevard,New Bern,NC,28562
4735,One Birch Drive,Sandwich,IL,60548
4736,1750 Marietta Highway,Canton,GA,30114
4737,5645 Pearl Drive,Evansville,IN,47712
4738,607 S. Hill St,Los Angeles,CA,90014
4739,4105 Tamiami Trail,Venice,FL,34293
4740,"8315, 8330, 8335 Century Park Court",San Diego,CA,92123
4741,4747 South Howell Avenue,Milwaukee,WI,53207
4742,5210-5212 Campbell Boulevard,White Marsh,MD,21236
4743,1340 East 6th Street,Los Angeles,CA,90021
4744,15800 NW 48th Avenue,Miami,FL,33014
4745,800-806 South Douglas Road,Coral Gables,FL,33134
4746,9033 Wilshire Blvd,Beverly Hills,CA,90211
4747,28100-28350 Plymouth Road,Livonia,MI,48150
4748,3235-3239 Airport Road,La Crosse,WI,54603
4749,5303-5305 Northfield Road,Bedford Heights,OH,44146
4750,5820 Murray Avenue,Hanahan,SC,29406
4751,"3200 SW 27th Avenue, 2701 SW 34th St. & 3306 SW 26th Avenue",Ocala,FL,34474
4752,15000 Southwest 104th Street,Miami,FL,33196
4753,4919 Timberview Drive,Sherman,TX,75090
4754,5108 Eisenhower Boulevard,Tampa,FL,33634
4755,1650 Lancing Drive,Salem,VA,24153
4756,Wall Road,Spring Lake Heights,NJ,07762
4757,8181 N.W. 154th Street,Miami Lakes,FL,33016
4758,28527 Highway 249,Tomball,TX,77375
4759,3003 Big Town Blvd.,Mesquite,TX,75150
4760,824-890 Washington Avenue,Miami Beach,FL,33139
4761,3565 US Highway 1,Princeton,NJ,08540
4762,50 South Tenth Street,Minneapolis,MN,55403
4763,695 East Patriot Boulevard,Reno,NV,89511
4764,8133 Leesburg Pike,Vienna,VA,22182
4765,1220 University Boulevard,Jacksonville,FL,32211
4766,5510 4th Street,Lubbock,TX,79416
4767,400-406 South Main Street,Wilkes-Barre,PA,18701
4768,701 State of Franklin Road,Johnson City,TN,37604
4769,6325 Garden Road,Maumee,OH,43537
